,inventory,demand,backlog,shipment,order
12,102,87,145,102,87
13,58,45,132,58,45
14,26,4,110,26,4
15,179,83,14,179,83
16,66,82,30,66,82
17,33,28,25,33,28
18,83,82,24,83,82
19,82,81,23,82,81
20,10,81,94,10,81
1,160,40,0,40,0
2,160,0,0,40,0
3,200,32,0,40,0
4,168,40,0,0,40
5,128,40,0,0,42
6,88,104,16,0,142
7,40,91,67,40,67
8,42,55,80,42,102
9,118,93,55,118,150
10,0,57,112,0,40
11,0,50,162,0,180
12,160,87,89,160,0
13,0,43,132,0,0
14,140,4,0,140,0
15,148,83,0,144,42
16,258,82,0,193,0
17,209,82,0,33,0
18,173,82,0,46,20
19,91,81,0,0,20
20,15,81,66,5,166
1,160,40,0,40,0
2,160,0,0,40,40
3,200,32,0,40,0
4,168,40,0,0,0
5,168,40,0,40,0
6,128,104,0,0,55
7,24,91,67,0,80
8,0,55,122,0,80
9,55,93,160,55,60
10,80,57,137,80,110
11,25,8,120,25,0
12,0,62,182,0,0
13,80,85,187,80,100
14,80,29,136,80,0
15,0,3,139,0,80
16,145,82,76,145,0
17,20,82,138,20,140
18,80,2,60,80,40
19,0,81,141,0,0
20,73,81,149,73,120
1,160,40,0,40,0
2,160,0,0,40,0
3,200,32,0,40,0
4,168,40,0,0,40
5,128,40,0,0,0
6,88,104,16,0,20
7,40,91,67,40,100
8,0,55,122,0,200
9,20,93,195,20,0
10,100,57,152,100,100
11,40,8,120,40,0
12,0,27,147,0,0
13,65,85,167,65,51
14,95,64,136,95,100
15,0,3,139,0,50
16,151,67,55,151,0
17,100,82,37,100,100
18,40,17,14,40,50
19,0,81,95,0,25
20,110,81,66,110,100
1,160,40,0,40,12
2,160,0,0,40,0
3,200,32,0,40,0
4,180,40,0,12,0
5,140,40,0,0,0
6,100,104,4,0,42
7,0,91,95,0,130
8,0,55,150,0,95
9,42,93,201,42,80
10,130,29,100,130,66
11,16,8,92,16,0
12,0,49,141,0,10
13,107,85,119,107,72
14,53,70,136,53,94
15,30,3,109,30,37
16,117,82,74,117,24
17,94,82,62,94,100
18,2,32,92,2,70
19,44,81,129,44,43
20,115,81,95,115,94
1,160,40,0,40,0
2,160,0,0,40,0
3,200,32,0,40,0
4,168,40,0,0,0
5,128,40,0,0,40
6,88,104,16,0,100
7,0,91,107,0,55
8,40,55,122,40,80
9,100,93,115,100,200
10,55,17,77,55,0
11,5,48,120,5,0
12,47,87,160,47,25
13,67,80,173,67,99
14,46,9,136,46,200
15,35,50,151,35,0
16,152,69,68,152,50
17,163,48,0,163,68
18,47,37,0,0,0
19,68,81,13,58,0
20,149,81,0,149,0
1,160,40,0,40,103
2,160,0,0,40,82
3,200,32,0,40,32
4,271,40,0,103,0
5,313,40,0,82,0
6,288,104,0,15,142
7,201,91,0,17,100
8,110,55,0,0,100
9,197,93,0,142,150
10,113,89,0,9,200
11,24,88,64,0,0
12,121,87,30,121,0
13,0,85,115,0,0
14,190,60,0,190,0
15,247,83,0,232,0
16,222,43,0,58,0
17,179,82,0,0,38
18,137,82,0,40,48
19,56,81,25,1,85
20,38,81,68,38,85
1,160,40,0,40,0
2,160,0,0,40,0
3,200,32,0,40,0
4,168,40,0,0,0
5,128,40,0,0,0
6,88,104,16,0,60
7,0,91,107,0,150
8,0,55,162,0,100
9,60,93,195,60,200
10,140,17,72,140,0
11,0,8,80,0,100
12,0,67,147,0,50
13,152,85,80,152,200
14,8,64,136,8,300
15,102,3,37,102,0
16,189,82,0,189,181
17,337,82,0,267,50
18,290,82,0,35,0
19,410,81,0,202,0
20,338,81,0,9,0
1,160,40,0,40,0
2,160,0,0,40,0
3,200,32,0,40,50
4,168,40,0,0,20
5,128,40,0,0,40
6,138,104,0,50,10
7,54,91,37,20,80
8,40,55,52,40,100
9,10,93,135,10,65
10,80,87,142,80,150
11,0,48,190,0,25
12,0,17,207,0,15
13,109,85,183,109,50
14,51,4,136,51,50
15,33,3,106,33,10
16,206,82,0,206,20
17,142,82,0,124,40
18,77,35,0,17,25
19,0,81,0,0,110
20,111,81,0,111,10
1,160,40,0,40,500
2,160,0,0,40,0
3,200,32,0,40,0
4,328,40,0,160,0
5,328,40,0,40,0
6,288,104,0,0,0
7,344,91,0,160,0
8,253,55,0,0,0
9,338,93,0,140,0
10,245,89,0,0,0
11,156,88,0,0,0
12,68,87,19,0,300
13,0,85,104,0,0
14,0,84,188,0,100
15,300,83,0,300,100
16,29,30,1,0,0
17,82,2,0,82,0
18,197,82,0,118,0
19,115,81,0,0,0
20,34,81,47,0,0
1,160,40,0,40,0
2,160,0,0,40,0
3,200,32,0,40,0
4,168,40,0,0,0
5,128,40,0,0,98
6,88,104,16,0,100
7,0,91,107,0,168
8,98,55,64,98,200
9,100,93,57,100,0
10,0,17,74,0,20
11,2,88,160,2,200
12,133,87,114,133,160
13,0,45,157,0,0
14,103,4,60,103,0
15,0,83,143,0,60
16,169,82,29,169,0
17,173,78,0,173,0
18,197,82,0,131,0
19,175,81,0,60,0
20,94,81,0,0,99
1,160,40,0,40,0
2,160,0,0,40,40
3,200,32,0,40,0
4,168,40,0,0,0
5,168,40,0,40,0
6,128,104,0,0,14
7,24,91,67,0,130
8,0,55,122,0,168
9,14,93,201,14,0
10,130,57,128,130,90
11,16,8,120,16,155
12,0,21,141,0,0
13,99,85,127,99,0
14,61,70,136,61,171
15,17,3,122,17,0
16,220,82,0,220,0
17,262,82,0,246,178
18,193,19,0,13,0
19,174,81,0,0,0
20,271,81,0,178,0
1,160,40,0,40,0
2,160,0,0,40,0
3,200,32,0,40,0
4,168,40,0,0,10
5,128,40,0,0,0
6,88,104,16,0,70
7,10,91,97,10,180
8,0,55,152,0,100
9,70,93,175,70,150
10,120,27,82,120,40
11,0,8,90,0,10
12,0,77,167,0,0
13,160,85,92,160,150
14,0,44,136,0,60
15,200,3,0,200,50
16,273,82,0,212,30
17,251,82,0,60,45
18,173,82,0,4,50
19,170,81,0,79,60
20,137,81,0,48,100
1,160,40,0,0,0
2,0,0,0,0,82
3,200,32,0,200,0
4,168,40,0,0,0
5,210,40,0,82,40
6,170,104,0,0,100
7,66,91,25,0,0
8,40,55,40,40,120
9,78,93,55,78,140
10,0,89,144,0,50
11,6,58,196,6,150
12,143,85,138,143,100
13,0,5,143,0,100
14,112,10,41,112,140
15,0,83,124,0,150
16,195,65,0,195,180
